TO_Time_UTC, jNO2_up, jNO2_down, jNO2_total, NO_ppbv, NO2_ppbv, NOy_ppbv, O3_ppbv, NOx_ppbv, Ox_ppbv, CO2_ppm, CO2_i_ppm, CH4_ppb, CH4_i_ppb, CO_ppb, CO_i_ppb, H2O_pct, H2O_i_pct, AmbTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd, Heading, Pitch, Roll, TrueAirSpd, GPSAlt, GPSLat, GPSLon
60060,0.008864,0.000831,0.009695,0.032,0.066,0.047,58.744,0.098,58.809,424.03,424.03,1998.2,1998.2,,,,,,,,,,,,,,,86.11,38.555,-121.301
60061,0.008873,0.000891,0.009764,-0.104,0.052,0.114,58.577,-0.052,58.629,,423.54,,1999.1,164.7,164.8,,,,,,,,,,,,,96.87,38.555,-121.301
60062,0.00895,0.000934,0.009884,-0.079,-0.009,0.14,58.806,-0.088,58.797,423.18,423.19,2000.5,2000.1,,166.1,1.172,1.173,,,,,,,,,,,111.33,38.555,-121.302
60063,0.00889,0.000925,0.009815,-0.03,-0.025,0.027,58.534,-0.055,58.509,,423.24,,1999.7,168.1,167.5,,1.176,,,,,,,,,,,114.14,38.554,-121.302
60064,0.008907,0.000908,0.009815,0.138,-0.015,0.064,58.58,0.123,58.565,423.32,423.3,,1998.2,,168.9,1.179,1.178,,,,,,,,,,,126.96,38.554,-121.303
60065,0.008933,0.000925,0.009858,-0.045,-0.045,0.104,58.11,-0.091,58.065,,423.3,1996.9,1997.0,,170.1,,1.177,,,,,,,,,,,135.02,38.554,-121.303
60066,0.009001,0.000943,0.009944,-0.267,-0.002,0.162,58.011,-0.269,58.009,,423.27,,1997.2,171.0,169.7,1.175,1.175,,,,,,,,,,,140.09,38.554,-121.303
60067,0.008993,0.000934,0.009927,-0.128,0.02,-0.021,58.059,-0.108,58.079,423.25,423.3,1997.5,1997.5,,165.0,,1.176,,,,,,,,,,,152.39,38.553,-121.304
60068,0.00901,0.000986,0.009996,0.117,-0.031,0.121,57.84,0.085,57.809,,423.41,,1999.4,160.2,160.4,,1.177,,,,,,,,,,,157.14,38.553,-121.304
60069,0.009052,0.000977,0.01003,0.05,0.004,-0.026,57.723,0.053,57.727,423.51,423.52,2002.7,2001.7,,163.9,1.178,1.179,,,,,,,,,,,169.01,38.553,-121.305
60070,0.009086,0.000977,0.01006,-0.074,0.052,0.064,57.58,-0.022,57.632,,423.62,,2001.6,169.1,167.7,,1.183,,,,,,,,,,,170.85,38.553,-121.305
60071,0.009104,0.000969,0.01007,-0.013,-0.033,-0.063,57.505,-0.046,57.472,423.76,423.73,,1999.6,,168.1,1.187,1.187,,,,,,,,,,,180.5,38.552,-121.306
60072,0.009104,0.000986,0.01009,0.128,-0.014,0.022,57.254,0.113,57.239,,423.62,1998.0,1998.1,,166.4,,1.185,,,,,,,,,,,183.64,38.552,-121.306
60073,0.009086,0.000977,0.01006,0.034,-0.017,0.082,57.29,0.017,57.273,,423.41,,1998.5,165.3,166.1,1.181,1.182,,,,,,,,,,,186.57,38.552,-121.307
60074,0.009086,0.00096,0.01005,0.025,0.026,0.184,56.827,0.051,56.853,423.29,423.29,1999.0,1999.0,,168.5,,1.182,,,,,,,,,,,190.04,38.552,-121.307
60075,0.009112,0.001012,0.01012,0.115,-0.005,0.117,,0.109,,,423.29,,1998.8,170.8,170.8,,1.182,,,,,,,,,,,191.7,38.551,-121.308
60076,0.009104,0.001063,0.01017,-0.005,-0.009,0.098,,-0.014,,423.29,423.26,1998.3,1998.5,,168.2,1.183,1.181,,,,,,,,,,,193.81,38.551,-121.308
60077,0.009086,0.001098,0.01018,0.196,-0.085,0.111,,0.111,,,423.01,,1997.2,164.8,165.6,,1.178,,,,,,,,,,,195.27,38.551,-121.309
